	TCGA-91-6828-01A	TCGA-86-6562-01A	TCGA-55-8094-01A	TCGA-67-3771-01A	TCGA-49-AARN-01A
ENSG00000033170.17	3695	4855	901	2818	1430
ENSG00000033178.13	1631	2048	1250	1870	1221
ENSG00000033327.13	3534	1369	867	1262	622
ENSG00000033627.17	2325	2935	3822	1713	2319
ENSG00000033800.14	976	968	798	1103	622
ENSG00000033867.16	1377	996	678	1161	470
ENSG00000034053.14	144	1917	32	240	1338
ENSG00000034152.19	1650	2354	5240	1316	2390
ENSG00000034239.11	4	18	1	12	180
ENSG00000034510.6	11366	55736	78423	21889	63716
ENSG00000034533.12	156	233	119	185	272
ENSG00000034677.13	3969	2702	1364	5032	2488
ENSG00000034693.15	256	275	352	427	169
ENSG00000034713.8	2034	2576	4380	3337	2563
ENSG00000034971.17	1	3	2	3	0
ENSG00000035115.22	1135	3956	2711	2242	2163
ENSG00000035141.8	868	1660	3462	1267	1388
ENSG00000035403.18	2632	9423	7086	3562	3491
ENSG00000035499.13	189	197	319	296	151
ENSG00000035664.11	474	528	213	309	259
ENSG00000035681.9	1910	1276	1108	1398	720
ENSG00000035687.10	1442	4702	2669	1966	1652
ENSG00000035720.8	28	29	7	89	94
ENSG00000035862.12	4696	17779	10477	5690	5621
ENSG00000035928.16	1881	2014	3295	920	1546
ENSG00000036054.13	1176	1312	1536	3440	1011
ENSG00000036257.13	2224	2943	1701	2479	1561
ENSG00000036448.10	44	25	10	20	41
ENSG00000036473.8	1	0	0	1	2
ENSG00000036530.9	18	42	5	21	46
ENSG00000036549.13	1054	1014	1857	1559	1010
ENSG00000036565.15	10	2	122	4	2
ENSG00000036672.16	41	151	25	69	207
ENSG00000036828.17	1	0	0	5	51
ENSG00000037042.9	227	678	909	616	726
ENSG00000037241.7	210	371	568	396	473
ENSG00000037280.16	444	656	251	409	478
ENSG00000037474.15	2254	3519	7062	1876	2184
ENSG00000037637.11	656	1149	1058	1129	926
ENSG00000037749.12	694	672	321	766	290
ENSG00000037757.14	175	237	311	377	370
ENSG00000037897.17	356	642	1261	442	517
ENSG00000037965.6	66	61	68	10	37
ENSG00000038002.9	657	1222	1801	638	743
ENSG00000038210.14	1881	2447	2576	1435	1105
ENSG00000038219.13	2703	1987	2056	1385	1422
ENSG00000038274.17	1813	1945	1377	2669	2251
ENSG00000038295.8	84	117	139	39	57
ENSG00000038358.15	1288	1235	1750	1144	1156
ENSG00000038382.20	5810	8537	4193	2975	2874
ENSG00000038427.16	15049	15148	9147	6619	3003
ENSG00000038532.16	1325	1670	787	1060	1346
ENSG00000038945.15	2830	2996	372	2451	466
ENSG00000039068.19	12256	20149	25255	13835	15891
ENSG00000039123.16	1628	1625	4053	1947	1479
ENSG00000039139.9	2787	1969	971	431	806
ENSG00000039319.17	1276	1245	550	1277	741
ENSG00000039523.20	964	1359	794	2196	1302
ENSG00000039537.14	5	17	877	5	213
ENSG00000039560.14	3398	12931	4085	4414	2992
ENSG00000039600.11	4	8	2	105	16
ENSG00000039650.12	528	1084	1245	1005	1323
ENSG00000039987.7	0	0	5	0	0
ENSG00000040199.18	605	371	602	234	258
ENSG00000040275.17	243	275	688	468	195
ENSG00000040341.18	4335	2617	1949	1439	1175
ENSG00000040487.13	331	608	1394	961	517
ENSG00000040531.16	535	1041	599	842	442
ENSG00000040608.14	86	371	36	195	288
ENSG00000040633.13	621	1854	2603	1425	986
ENSG00000040731.10	4	4	0	1	6
ENSG00000040933.16	1214	2345	747	2129	1152
ENSG00000041353.10	969	5604	589	220	1052
ENSG00000041357.16	2359	2412	4661	4204	2466
ENSG00000041515.16	17	21	1069	135	14
ENSG00000041802.11	719	1042	1197	5093	1500
ENSG00000041880.14	617	939	232	1082	1541
ENSG00000041982.16	5769	11279	608	1283	2775
ENSG00000041988.15	172	440	575	434	432
ENSG00000042062.13	100	43	41	131	43
ENSG00000042088.14	146	1083	639	1163	470
ENSG00000042286.15	278	371	751	1681	765
ENSG00000042304.12	0	0	0	1	0
ENSG00000042317.17	209	520	215	468	356
ENSG00000042429.12	109	125	174	117	143
ENSG00000042445.14	1062	1408	4072	1587	2565
ENSG00000042493.16	4152	9327	3633	6124	7705
